code_cluster,code_insee_centre_zone_emploi,latitude_centre,longitude_centre,ville_principale
152,37261,47.35956024096385,0.6668132530120482,Tours
153,37072,47.18959523809524,0.2470952380952381,Chinon
154,38053,45.574999999999996,5.410066037735849,Bourgoin-Jallieu
155,38185,45.08146031746032,5.823111111111111,Grenoble
156,38563,45.30533846153846,5.419530769230769,Voiron
157,40192,43.82772289156627,-0.45269879518072287,Mont-de-Marsan
158,40088,43.70826050420168,-1.0064453781512606,Dax
159,64102,43.347207207207205,-1.324774774774775,Bayonne
160,47001,44.18271717171717,0.551979797979798,Agen
161,64445,43.395227272727276,-0.3846363636363636,Pau
162,41269,47.8143595505618,0.9858876404494382,Vendôme
163,41018,47.58059615384615,1.3471153846153845,Blois
164,42218,45.51573134328358,4.345171641791045,Saint-Étienne
165,42147,45.73672222222223,4.074044444444445,Montbrison
166,42187,46.04890789473684,4.05925,Roanne
167,69243,46.02026190476191,4.400309523809524,Tarare
168,63430,45.67701818181818,3.6566727272727273,Thiers
169,44036,47.6595625,-1.45984375,Châteaubriant
170,44109,47.21627368421053,-1.5443263157894738,Nantes
171,49244,47.418565217391304,-1.1184347826086956,Mauges-sur-Loire
172,44131,47.1673125,-2.039875,Pornic
173,44184,47.38294594594595,-2.2094864864864867,Saint-Nazaire
174,85047,46.825714285714284,-1.9125714285714286,Challans
175,45208,47.982697916666666,2.73521875,Montargis
176,45252,48.159807692307695,2.2752435897435896,Pithiviers
177,46042,44.51251111111112,1.3753555555555557,Cahors
178,46128,44.834863636363636,1.7506727272727274,Gramat
179,48095,44.57922222222222,3.4375555555555555,Mende
180,49328,47.25675555555556,-0.09242222222222221,Saumur
181,49007,47.48367164179104,-0.5228805970149254,Angers
182,49331,47.7252,-0.9833999999999999,Segré-en-Anjou Bleu
183,49099,47.077799999999996,-0.7622,Cholet
184,72154,47.676249999999996,0.015821428571428573,La Flèche
185,72264,47.88699999999999,-0.2512884615384615,Sablé-sur-Sarthe
186,50147,49.13275757575758,-1.4455757575757575,Coutances
187,50218,48.84534782608696,-1.4504347826086956,Granville
188,50129,49.51157777777778,-1.5202666666666667,Cherbourg-en-Cotentin
189,50025,48.68233663366337,-1.2173663366336633,Avranches
190,51108,49.0073947368421,4.586078947368421,Châlons-en-Champagne
191,51230,49.00934513274336,3.9150088495575224,Épernay
192,52121,48.034416216216215,5.374262162162163,Chaumont
193,53130,48.105717647058825,-0.8187294117647058,Laval
194,53147,48.31783695652174,-0.5145217391304348,Mayenne
195,53062,47.84971875,-0.79746875,Château-Gontier-sur-Mayenne
196,61001,48.45091351351351,0.21678918918918919,Alençon
197,54395,48.64221123595505,6.1546943820224715,Nancy
198,57463,49.086747967479674,6.171711382113821,Metz
199,57672,49.3986,6.013073684210526,Thionville
200,57630,48.74752093023256,6.95853488372093,Sarrebourg
201,88413,48.36447272727273,6.920409090909091,Saint-Dié-des-Vosges
202,55029,48.73077124183006,5.289843137254902,Bar-le-Duc
203,55545,49.12527272727273,5.4448008658008655,Verdun
204,56260,47.639183333333335,-2.6199500000000002,Vannes
205,56007,47.592285714285715,-3.062892857142857,Auray
206,56121,47.82557142857143,-3.3133999999999997,Lorient
207,57606,49.09896946564886,6.6129999999999995,Saint-Avold
208,57631,49.00954609929078,7.167205673758866,Sarreguemines
209,57227,49.143966666666664,6.8875,Forbach
210,89025,47.43602906976744,3.8765232558139533,Avallon
211,71342,46.44234848484849,4.120409090909091,Paray-le-Monial
212,59122,50.14321621621622,3.286207207207207,Cambrai
213,59606,50.332088000000006,3.499584,Valenciennes
214,59350,50.596947368421056,2.9881729323308273,Lille
215,59178,50.33484507042253,3.125633802816901,Douai
216,59183,50.91274666666667,2.3844800000000004,Dunkerque
217,59295,50.65726984126984,2.2119047619047616,Hazebrouck
218,59599,50.70381818181818,3.148727272727273,Tourcoing
219,62119,50.52300917431192,2.5225229357798162,Béthune
220,60057,49.47825153374233,2.00820245398773,Beauvais
221,60175,49.33928358208955,2.4842462686567166,Creil
222,60159,49.50724309392265,2.857436464088398,Compiègne
223,61006,48.74704054054054,-0.05395945945945946,Argentan
224,62498,50.43508620689656,2.8431724137931034,Lens
225,62041,50.23061637931035,2.6918448275862072,Arras
226,62108,50.40494607843137,2.0190882352941175,Berck
227,62193,50.86052941176471,1.9286078431372549,Calais
228,62160,50.71027173913044,1.7749565217391303,Boulogne-sur-Mer
229,63113,45.81547643979057,3.112560209424084,Clermont-Ferrand
230,64422,43.2091963190184,-0.7710736196319019,Oloron-Sainte-Marie
231,67482,48.57409389671361,7.506826291079812,Strasbourg
232,67462,48.29391666666666,7.451930555555555,Sélestat
233,67180,48.87941463414634,7.7764085365853655,Haguenau
234,68066,48.06491,7.3292600000000006,Colmar
235,68224,47.75865294117647,7.184111764705882,Mulhouse
236,68297,47.5645054945055,7.381054945054945,Saint-Louis
237,90010,47.64275,6.809134146341464,Belfort
238,71076,46.75474626865671,4.842888059701493,Chalon-sur-Saône
239,71153,46.683263157894736,4.415982456140351,Le Creusot
240,72181,47.988553333333336,0.18960000000000002,Le Mans
241,72132,48.076675,0.59695,La Ferté-Bernard
242,73065,45.55830909090909,5.977545454545455,Chambéry
243,73011,45.57995588235294,6.511441176470589,Albertville
244,74010,45.853275510204085,6.108622448979592,Annecy
245,73248,45.2966875,6.4229375,Saint-Jean-de-Maurienne
246,74256,45.8738,6.65125,Sallanches
247,74281,46.31427083333333,6.603916666666667,Thonon-les-Bains
248,74081,46.078857142857146,6.554035714285715,Cluses
249,75056,48.82965573770492,2.390877049180328,Paris
250,76758,49.61987878787879,0.6564747474747474,Bolbec
251,76217,49.80022959183673,1.0767295918367346,Dieppe
