Latitude,Longitude,department (name),department (code),communes (code),Nom,Mois,Pression station,Température (°C),Précipitations dans les 24 dernières heures,Rafales sur une période
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,3,101165.07329509241,26.392415551306588,17644.1,6.125302740599108
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,4,101149.4674556213,26.6289095519865,16000.6,5.833474218089603
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,5,101179.71476510067,26.31325503355707,28677.5,4.755788590604027
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,6,101257.46059544658,26.206742556917714,16056.2,3.5563922942206654
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,7,101253.5197368421,26.182812500000022,11325.2,3.4092927631578944
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,8,101228.30705962988,26.721110349554515,7051.1,3.9474982864976007
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,9,101131.42335766423,27.388978102189803,3180.3,4.362846715328468
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,10,101031.92360163711,27.354160982264688,1839.9,4.550613915416098
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,11,100957.31598513012,26.97226765799259,6426.6,4.654646840148699
4.822333,-52.365333,Guyane,973,97307,CAYENNE-MATOURY,12,101078.44880441447,26.30876762722259,22861.5,5.522869405272838
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,1,101232.97741273101,25.30184804928134,3065.4,4.415811088295688
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,2,101193.35570469798,25.47494407158839,3216.6,4.439373601789709
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,3,101218.8626609442,25.90364806866955,2715.1,4.6924892703862655
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,4,101156.52777777778,25.903703703703727,4353.4,4.248842592592593
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,5,101232.73913043478,25.890217391304372,7364.4,3.8665217391304347
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,6,101340.22522522522,25.45743243243246,6600.7,3.2144144144144144
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,7,101278.96396396396,26.017792792792818,3048.2,3.364864864864865
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,8,101214.72727272728,26.40623376623379,1491.1,3.496883116883117
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,9,101136.80203045685,27.68172588832489,551.7,4.422335025380711
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,10,101095.05319148937,27.546276595744704,303.4,4.209042553191489
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,11,101015.12195121951,27.065365853658562,487.8,4.173170731707317
5.4855,-54.031667,Guyane,973,97311,SAINT LAURENT,12,101149.63203463203,25.881818181818204,2902.3,4.1805194805194805
