GEO,TOUR_MEASURE,FREQ,TIME_PERIOD,ACTIVITY,UNIT_LOC_RANKING,L_STAY,OBS_VALUE_NIVEAU
2025-COM-01299,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01181,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01444,PLACE,A,2025,I551,_T,_T,32.0
2025-COM-01388,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01389,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01305,PLACE,A,2025,I551,_T,_T,10.0
2025-COM-01320,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01457,PLACE,A,2025,I551,_T,_T,80.0
2025-COM-01145,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01361,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01203,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01407,PLACE,A,2025,I551,_T,_T,12.0
2025-COM-01406,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01355,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01309,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01419,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01443,PLACE,A,2025,I553,_T,_T,233.0
2025-COM-01215,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01439,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01397,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01378,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01244,PLACE,A,2025,I551,_T,_T,9.0
2025-COM-01243,PLACE,A,2025,I553,_T,_T,30.0
2025-COM-01344,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01338,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01361,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01439,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01216,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01216,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01391,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01297,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01295,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01260,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01383,PLACE,A,2025,I553,_T,_T,84.0
2025-COM-01384,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01333,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01421,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01423,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01303,PLACE,A,2025,I553,_T,_T,100.0
2025-COM-01352,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01210,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01339,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01370,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01212,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01175,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01282,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01286,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01354,PLACE,A,2025,I551,_T,_T,262.0
2025-COM-01405,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01358,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01365,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01180,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01179,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01425,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01378,PLACE,A,2025,I553,_T,_T,110.0
2025-COM-01282,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01445,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01387,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01398,PLACE,A,2025,I551,_T,_T,7.0
2025-COM-01267,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01418,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01408,PLACE,A,2025,I553,_T,_T,15.0
2025-COM-01208,PLACE,A,2025,I551,_T,_T,10.0
2025-COM-01170,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01428,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01293,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01309,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01343,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01433,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01431,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01285,PLACE,A,2025,I553,_T,_T,190.0
2025-COM-01203,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01322,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01386,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01190,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01198,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01302,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01375,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01396,PLACE,A,2025,I553,_T,_T,0.0
2025-COM-01169,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01257,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01384,PLACE,A,2025,I551,_T,_T,7.0
2025-COM-01380,PLACE,A,2025,I551,_T,_T,0.0
2025-COM-01382,PLACE,A,2025,I551,_T,_T,0.0
