GEO,TOUR_MEASURE,HOTEL_STA,FREQ,TIME_PERIOD,TERRTYPO,ACTIVITY,TOUR_RESID,UNIT_LOC_RANKING,OBS_STATUS,DECIMALS,UNIT_MULT,OBS_STATUS_FR,CONF_STATUS,OBS_VALUE_NIVEAU
2023-DEP-2B,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,229.661589616
2023-DEP-73,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,161.156145808
2023-DEP-16,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,46.125866905
2023-DEP-43,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,34.333416099
2023-DEP-60,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,124.465260983
2023-DEP-19,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,46.482891826
2023-DEP-63,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,162.298680545
2023-DEP-61,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,31.344096274
2023-DEP-02,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,50.03270343
2023-DEP-74,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,398.296270483
2023-DEP-33,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,475.514139056
2023-DEP-70,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,12.290350979
2023-DEP-69,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,557.000538365
2023-DEP-54,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,89.474465882
2023-DEP-15,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,45.090917493
2023-DEP-62,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,240.022155364
2023-DEP-972,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,39.414518266
2023-DEP-05,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,66.962224738
2023-DEP-06,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,1065.126220976
2023-DEP-10,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,75.037586238
2023-DEP-46,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,59.447733826
2023-DEP-22,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,129.453779823
2023-DEP-68,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,291.708794341
2023-DEP-51,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,183.786617308
2023-DEP-13,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,638.549544493
2023-DEP-71,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,132.393172715
2023-DEP-76,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,236.557072574
2023-DEP-77,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,775.127076635
2023-DEP-78,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,181.514436732
2023-DEP-86,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,116.801289679
2023-DEP-87,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,56.922335372
2023-DEP-79,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,37.730050928
2023-DEP-80,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,84.924634563
2023-DEP-81,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,47.03700177
2023-DEP-82,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,33.58124703
2023-DEP-83,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,453.517899752
2023-DEP-84,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,243.360970648
2023-DEP-85,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,158.392277724
2023-DEP-88,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,68.938370086
2023-DEP-90,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,23.776506302
2023-DEP-91,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,177.02115725
2023-DEP-21,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,2561.763417447
2023-DEP-92,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,498.428494582
2023-DEP-39,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,511.380171104
2023-DEP-93,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,398.648109503
2023-DEP-94,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,237.448015656
2023-DEP-95,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,322.490424096
2023-DEP-64,NUI,_T,A,2024,_T,I551,_T,_T,A,0,3,D,F,2736.19204032
2023-DEP-976,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,14.191608917
2023-DEP-01,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,91.567654396
2023-DEP-07,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,68.582979085
2023-DEP-11,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,122.413408407
2023-DEP-12,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,77.420494415
2023-DEP-14,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,352.3554016
2023-DEP-17,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,234.630532579
2023-DEP-2A,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,298.898732906
2023-DEP-21,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,258.086347291
2023-DEP-24,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,115.149579466
2023-DEP-25,NUI,_T,M,2024-09,_T,I551,_T,_T,A,2,3,D,F,93.886843552
